record_id,name,description,service_type
686656,"Avloppsslam på jordbruksmark, visningstjänst",NULL,wms
c1da17d0-88fd-11da-a88f-000d939bc5d8,geonetwork:tcatsub1_3804,Potential yield (crops/y) of African catfish - Small-scale farming,wms
R_SARDEG:d56d4a44-c331-42d8-a995-efb940a3e915,NULL,NULL,wms
c06ec800-88fd-11da-a88f-000d939bc5d8,geonetwork:txsl_3833,Engineering capability,wms
r_friuve:m3955-cc-i1450,NULL,NULL,wfs
r_friuve:m3955-cc-i1450,NULL,NULL,wms
642286,brpgewaspercelen,NULL,wms
arlpa_to:07.02.11_2019-10-16_09:00,NULL,NULL,wms
c2be6eab-4ccb-41c5-b63b-73285f5a4c6f,gsoc:S_GRAVEL,Subsoil Gravel Content,wms
c31a38f0-88fd-11da-a88f-000d939bc5d8,geonetwork:eurasia_taiwsoil_7385,Soil of North and Central Eurasia,wms
c32116c0-88fd-11da-a88f-000d939bc5d8,geonetwork:soiltext_3832,Soil texture,wms
arls_031:m10580-cc-i10497,NULL,NULL,wms
arls_031:m10580-cc-i10497,NULL,NULL,wfs
c7caec6d-9393-414b-a5c7-362521720b08,Service de visualisation WMS,Adresse de connexion au service de visualisation WMS de la couche de données CARBIOSOL - Incertitudes des stocks en Carbone organique total - période 2005-2014,wms
d53f2680-88fd-11da-a88f-000d939bc5d8,geonetwork:sea_7379,Soil of Northeastern Africa,wms
db533de0-88fd-11da-a88f-000d939bc5d8,geonetwork:soterlac_7387,Soil and terrain of Latin America and Caribbean,wms
db767d50-88fd-11da-a88f-000d939bc5d8,geonetwork:soils_7390,Dominant Soils Map of Southern Africa,wms
db8179d0-88fd-11da-a88f-000d939bc5d8,geonetwork:soils_7389,Soil Map of Southern Africa,wms
7191c251-124d-4042-b45d-7dcd512d1a90,gsoc:S_SILT,Subsoil Silt Fraction,wms
bf0e2690-88fd-11da-a88f-000d939bc5d8,geonetwork:soils_3820,Soil suitability for ponds,wms
Soil-Organic-Carbon-Stock-Maps-for-Belgium,carbon_sd_40,"The Belgian soil organic carbon (SOC) stock map for topsoils (0-30 cm) at the resolution of 40m x 40m was composed of 2 regional SOC stock maps. For the regional maps a different approach was used for agricultural land as compared to forest. The maps are based on digital soil mapping approaches using empirical models calibrated to predict the SOC stock and using covariates that are available at a sufficient resolution at the regional scale. All maps are strongly dependent on the Belgian Soil Map (texture and drainage parameters). The regional maps were compiled at a fine resolution (10m x 10m grid cells for Flanders and 40m x 40m grid cells for Wallonia). Next they were joined (40m x 40m grid cells). The regional maps for Flanders were scaled up tot the 40m x 40m grid of Wallonia.  
Given the different origin of the individual maps, the uncertainty varies between maps. For instance, a map of the 90% confidence interval of the SOC stocks was produced for agricultural soils in Wallonia based on a Monte Carlo Approach taking into account both the measurement and the model uncertainties. For Flemish forest soils, spatial and analytical uncertainties were taken into account using bootstrapping techniques. For Flemish agricultural soils, the uncertainty reported is the model uncertainty on point estimates for each data point, in which the estimated model parameters are simulated 1000 times as being independent normal distributed variables using their model estimation and standard error as distribution parameters. No additional uncertainty is taken into account for the conversion functions that use the stochastic variables ""bulk density"". The metadata are available and allow assessing the uncertainties of the stock estimates in the different component maps.
The SOC stock map (resolution of 40m x 40m) is the first comprehensive map for Belgium integrating grasslands, croplands and forests. Based on this map another SOC stock map at a resolution of 1km x 1km in the coordinate reference system WGS84 was created.",wms
