"['organo-mineral fertilizer', 'en']",https://soilwise-he.github.io/soil-health#MineralFertilisers,82
"['soil redox potential', 'en']",https://soilwise-he.github.io/soil-health#SoilPotential,82
"['Soil water availability', 'en']",https://soilwise-he.github.io/soil-health#SoilNutrientAvailability,82
"['deposition', 'en']",https://soilwise-he.github.io/soil-health#Decomposition,87
"['Bioindicators', 'en']",https://soilwise-he.github.io/soil-health#Indicators,87
"['Subsoil Organic Carbon', 'en']",https://soilwise-he.github.io/soil-health#SoilOrganicCarbon,93
"['RAM', 'pt']",https://soilwise-he.github.io/soil-health#Space,86
"['propriedades físicas do solo', 'en']",https://soilwise-he.github.io/soil-health#SoilPhysicalProperties,88
"['composts', 'en']",https://soilwise-he.github.io/soil-health#Compost,93
"['Grain quality', 'en']",https://soilwise-he.github.io/soil-health#AirQuality,83
"['Terrestrial ecosystem', 'en']",https://soilwise-he.github.io/soil-health#TerrestrialEcosystems,98
"['Ocean acidification', 'en']",https://soilwise-he.github.io/soil-health#Acidification,81
"['soil cations', 'en']",https://soilwise-he.github.io/soil-health#SoilFunctions,85
"['Soil acidification', 'en']",https://soilwise-he.github.io/soil-health#Acidification,84
"['Soil Hydraulic Properties', 'en']",https://soilwise-he.github.io/soil-health#SoilPhysicalProperties,82
"['Nutrient', 'en']",https://soilwise-he.github.io/soil-health#Nutrients,94
"['dénitrification', 'en']",https://soilwise-he.github.io/soil-health#Desertification,80
"['denitrification', 'en']",https://soilwise-he.github.io/soil-health#Desertification,80
"['diversity', 'en']",https://soilwise-he.github.io/soil-health#Biodiversity,86
"['N Deposition', 'en']",https://soilwise-he.github.io/soil-health#Decomposition,80
"['Nutrient Addition', 'en']",https://soilwise-he.github.io/soil-health#NutrientDepletion,80
"['soil suitability', 'en']",https://soilwise-he.github.io/soil-health#SoilStability,93
"['basic soil properties', 'sv']",https://soilwise-he.github.io/soil-health#IntrinsicSoilProperties,83
"['eu', 'it']",https://soilwise-he.github.io/soil-health#Water,80
"['Ecosystem Functioning', 'en']",https://soilwise-he.github.io/soil-health#EcosystemFunctions,90
"['Cell Respiration', 'en']",https://soilwise-he.github.io/soil-health#Respiration,81
