subject_label,vocab_label,subject_id,subject_uri,vocab_identifier,cosine_score,ce_score
n_a,nitrogen,170817,,https://w3id.org/eusoilvoc#Nitrogen,0.769,0.7382
other social sciences,lithology,170843,,https://w3id.org/eusoilvoc#Lithology,0.4592,0.7868
"land degradation, soil literacy",soil degradation,170844,,https://w3id.org/eusoilvoc#SoilDegradation,0.8035,0.6767
"erosion, soil structure",soil erosion category,170881,,https://w3id.org/eusoilvoc#SoilErosionCategory,0.9228,0.6046
ohranitveno kmetijstvo,agricultural sustainability,173187,,https://w3id.org/eusoilvoc#AgriculturalSustainability,0.9081,0.9457
agricultural soil science,soil agricultural functions,173194,,https://w3id.org/eusoilvoc#SoilAgriculturalFunctions,0.9249,0.7088
arable land,land use,170948,,https://w3id.org/eusoilvoc#LandUse,0.8859,0.8423
nitrogen fixation,biological nitrogen fixation,171107,,https://w3id.org/eusoilvoc#BiologicalNitrogenFixation,0.9192,0.8686
bulk density,soil density,171113,,https://w3id.org/eusoilvoc#SoilDensity,0.8424,0.9511
soil chemistry,soil chemical processes,171215,,https://w3id.org/eusoilvoc#SoilChemicalProcesses,0.9179,0.8995
biological activity in soil,soil microbial activity,171247,,https://w3id.org/eusoilvoc#SoilMicrobialActivity,0.8293,0.9676
cover plants,plant cover,171251,,https://w3id.org/eusoilvoc#PlantCover,0.9657,0.9275
soil biology,soil biological functions,171252,,https://w3id.org/eusoilvoc#SoilBiologicalFunctions,0.93,0.8921
soil carbon,soil organic carbon,171293,,https://w3id.org/eusoilvoc#SoilOrganicCarbon,0.9292,0.7222
losses from soil,soil nitrogen loss,171347,,https://w3id.org/eusoilvoc#SoilNLoss,0.9137,0.889
soil horizons,soil horizon boundary,171348,,https://w3id.org/eusoilvoc#SoilHorizonBoundary,0.8694,0.6765
subsoil,soil subsidence,171357,,https://w3id.org/eusoilvoc#SoilSubsidence,0.5256,0.6998
soil biology,soil biological functions,171360,,https://w3id.org/eusoilvoc#SoilBiologicalFunctions,0.93,0.8921
competences,soil consistence,173224,,https://w3id.org/eusoilvoc#SoilConsistence,0.5315,0.8795
bodeneigenschaften,soil physical properties,171489,,https://w3id.org/eusoilvoc#SoilPhysicalProperties,0.7601,0.796
bbfs,BlkDensF_fe-unkn-fc,173440,,https://w3id.org/eusoilvoc#bulkDensityFineEarthProcedure-BlkDensF_fe-unkn-fc,0.5873,0.6889
darstellungsdienst,provisioning services,171528,,https://w3id.org/eusoilvoc#ProvisioningServices,0.8677,0.6466
chimie a solului,soil chemical,171553,,https://w3id.org/eusoilvoc#SoilChemical,0.8285,0.7822
difesa del suolo,soil properties,171563,,https://w3id.org/eusoilvoc#SoilProperties,0.862,0.6546
wasserbewirtschaftung,water purification,171661,,https://w3id.org/eusoilvoc#WaterPurification,0.8773,0.7062
raumordnung und -planung,soil management,171662,,https://w3id.org/eusoilvoc#SoilManagement,0.5287,0.806
water retention,soil water retention,171688,,https://w3id.org/eusoilvoc#SoilWaterRetention,0.8285,0.9398
chimie des sols,soil chemical,171736,,https://w3id.org/eusoilvoc#SoilChemical,0.7269,0.6183
landwirtschaft,land use,171841,,https://w3id.org/eusoilvoc#LandUse,0.8573,0.7693
crop residues,crop residue mulch,173283,,https://w3id.org/eusoilvoc#CropResidueMulch,0.8441,0.8615
conservation des sols,conservation tillage,173304,,https://w3id.org/eusoilvoc#ConservationTillage,0.9066,0.7779
acoperire a terenului,land cover,172074,,https://w3id.org/eusoilvoc#LandCover,0.879,0.8598
utilizare a terenului,land use class,172075,,https://w3id.org/eusoilvoc#LandUseClass,0.8296,0.8909
habitat (ecology),habitats,172123,,https://w3id.org/eusoilvoc#Habitats,0.9019,0.6338
soil organic carbon accumulation,soil organic carbon loss,172126,,https://w3id.org/eusoilvoc#SOCLoss,0.8905,0.91
:geology [science],geology,172361,,https://w3id.org/eusoilvoc#Geology,0.9068,0.6601
crcf,CrsFrg_fld,172420,,https://w3id.org/eusoilvoc#coarseFragmentsProcedure-CrsFrg_fld,0.7454,0.8587
water retention,soil water retention,172428,,https://w3id.org/eusoilvoc#SoilWaterRetention,0.8285,0.9398
biological soil crust,soil biological crusts,172467,,https://w3id.org/eusoilvoc#SoilBiologicalCrusts,0.9958,0.9624
plant tubers,plant cover,172557,,https://w3id.org/eusoilvoc#PlantCover,0.6199,0.8009
soil-structure,soil structural crusts,172593,,https://w3id.org/eusoilvoc#SoilStructuralCrusts,0.8893,0.8754
other physical sciences and mathematics,lithology,172598,,https://w3id.org/eusoilvoc#Lithology,0.4278,0.627
other life sciences,physiography,172603,,https://w3id.org/eusoilvoc#Physiography,0.4556,0.7542
soil organic carbon storage,soil organic carbon loss,173326,,https://w3id.org/eusoilvoc#SOCLoss,0.8596,0.618
soil sustainability,soil permeability,173342,,https://w3id.org/eusoilvoc#SoilPermeability,0.8653,0.6966
sustainability-promoting agricultural practices,agricultural sustainability,173417,,https://w3id.org/eusoilvoc#AgriculturalSustainability,0.9251,0.909
land‑use,land use class,173633,,https://w3id.org/eusoilvoc#LandUseClass,0.8829,0.7474
surface water groundwater interactions,soil water retention,173659,,https://w3id.org/eusoilvoc#SoilWaterRetention,0.7837,0.7223
organic soils,soil organic components,173672,,https://w3id.org/eusoilvoc#SoilOrganicComponents,0.9578,0.9853
wvmv,VMC_d-ww,173866,,https://w3id.org/eusoilvoc#moistureContentProcedure-VMC_d-ww,0.6115,0.9056
[phys.phys.phys-ao-ph] physics [physics]/physics [physics]/atmospheric and oceanic physics [physics.ao-ph],physiography,174013,,https://w3id.org/eusoilvoc#Physiography,0.5077,0.7279
physicochemical property,soil physical properties,174015,,https://w3id.org/eusoilvoc#SoilPhysicalProperties,0.8896,0.9726
particle size,particle size fraction sum,174016,,https://w3id.org/eusoilvoc#ParticleSizeFractionSum,0.7275,0.6939
earth's atmosphere,soil air,174101,,https://w3id.org/eusoilvoc#SoilAir,0.9544,0.9461
climate change impacts,climate,174143,,https://w3id.org/eusoilvoc#Climate,0.8917,0.6049
mineral-composition,mineral concentration,174211,,https://w3id.org/eusoilvoc#MineralConcentration,0.8867,0.8365
geowissenschaften,geology,174259,,https://w3id.org/eusoilvoc#Geology,0.926,0.6157
polluted soils,soil pollution,174506,,https://w3id.org/eusoilvoc#SoilPollution,0.927,0.8443
atmospheric fallout,precipitation,174536,,https://w3id.org/eusoilvoc#Precipitation,0.6882,0.6801
"waste disposal, fluid",liquid waste disposal,174552,,https://w3id.org/eusoilvoc#LiquidWasteDisposal,0.9639,0.9764
soil affinity,soil water affinity,174807,,https://w3id.org/eusoilvoc#SoilWaterAffinity,0.8835,0.793
researchinstitutes_networks_beacons/lydia_becker_institute_of_immunology_and_inflammation; name=lydia becker institute,physiography,174847,,https://w3id.org/eusoilvoc#Physiography,0.4031,0.6807
diversity loss,soil biodiversity loss,174898,,https://w3id.org/eusoilvoc#SoilBiodiversityLoss,0.525,0.6
root depth,soil depth rootable,174989,,https://w3id.org/eusoilvoc#SoilDepthRootable,0.752,0.6516
human impacts,human influence class,175084,,https://w3id.org/eusoilvoc#HumanInfluenceClass,0.7182,0.9052
soil chemistry,soil chemical processes,175089,,https://w3id.org/eusoilvoc#SoilChemicalProcesses,0.9179,0.8995
sustainable agricultural environments,agricultural sustainability,175194,,https://w3id.org/eusoilvoc#AgriculturalSustainability,0.9326,0.9614
soil heating,soil heat exchange,175209,,https://w3id.org/eusoilvoc#SoilHeatExchange,0.8684,0.6363
soil microbial functions,soil microbial activity,175210,,https://w3id.org/eusoilvoc#SoilMicrobialActivity,0.9748,0.8071
shrubland,land use shrubs,175384,,https://w3id.org/eusoilvoc#LandUseShrubs,0.7993,0.9099
drainage water,drainage to groundwater,175458,,https://w3id.org/eusoilvoc#DrainageToGroundwater,0.9106,0.7077
surface explosion,soil strength,175716,,https://w3id.org/eusoilvoc#SoilStrength,0.5385,0.8123
iron compounds,iron total elements,175729,,https://w3id.org/eusoilvoc#IronTotalElements,0.8155,0.6032
contaminated land,soil pollution,175821,,https://w3id.org/eusoilvoc#SoilPollution,0.8803,0.6199
soil/chemistry,soil chemical,175848,,https://w3id.org/eusoilvoc#SoilChemical,0.9606,0.8494
sustainable agroecosystem,agricultural sustainability,175856,,https://w3id.org/eusoilvoc#AgriculturalSustainability,0.8414,0.8764
agricultural development,land use,175914,,https://w3id.org/eusoilvoc#LandUse,0.931,0.9016
soil nutrient concentrations,soil productivity,175918,,https://w3id.org/eusoilvoc#SoilProductivity,0.9716,0.717
soil attributes,soil properties,176066,,https://w3id.org/eusoilvoc#SoilProperties,0.951,0.68
soil capability,soil physical capacity,176076,,https://w3id.org/eusoilvoc#SoilPhysicalCapacity,0.9376,0.673
deplete soil-nitrogen,soil nitrogen loss,176105,,https://w3id.org/eusoilvoc#SoilNLoss,0.9141,0.8378
habitat provisioning,habitat provision capacity,176107,,https://w3id.org/eusoilvoc#HabitatProvisionCapacity,0.9101,0.9554
vegetative development,vegetation,176241,,https://w3id.org/eusoilvoc#Vegetation,0.6642,0.7332
nutrient content,soil productivity,176255,,https://w3id.org/eusoilvoc#SoilProductivity,0.9386,0.9641
organic pollutants (ops),soil organic carbon,176395,,https://w3id.org/eusoilvoc#SoilOrganicCarbon,0.6571,0.671
lumbricus terrestris,earthworms,176411,,https://w3id.org/eusoilvoc#Earthworms,0.7198,0.8895
/dk/atira/pure/sustainabledevelopmentgoals/responsible_consumption_and_production; name=sdg 12 - responsible consumption and production,land use,176422,,https://w3id.org/eusoilvoc#LandUse,0.4976,0.9668
soil ecosystem,soil environmental functions,176424,,https://w3id.org/eusoilvoc#SoilEnvironmentalFunctions,0.9034,0.804
/dk/atira/pure/sustainabledevelopmentgoals/sustainable_cities_and_communities; name=sdg 11 - sustainable cities and communities,conservation tillage,176455,,https://w3id.org/eusoilvoc#ConservationTillage,0.47,0.7317
/dk/atira/pure/sustainabledevelopmentgoals/clean_water_and_sanitation; name=sdg 6 - clean water and sanitation,water purification,176483,,https://w3id.org/eusoilvoc#WaterPurification,0.6061,0.8017
comparisons,soil consistence,176518,,https://w3id.org/eusoilvoc#SoilConsistence,0.5385,0.6053
forested land,land use forests,176553,,https://w3id.org/eusoilvoc#LandUseForests,0.9015,0.8582
agricultura sostenible,agricultural sustainability,176592,,https://w3id.org/eusoilvoc#AgriculturalSustainability,0.9553,0.9775
soil lichens,soil mineral matter,176630,,https://w3id.org/eusoilvoc#SoilMineralMatter,0.7179,0.7771
soil biocrust,soil biological crusts,176632,,https://w3id.org/eusoilvoc#SoilBiologicalCrusts,0.8347,0.94
f300,PAWHC_calcul-fc300wp,176752,,https://w3id.org/eusoilvoc#availableWaterHoldingCapacityProcedure-PAWHC_calcul-fc300wp,0.4688,0.6247
water retention function,soil water retention,176918,,https://w3id.org/eusoilvoc#SoilWaterRetention,0.7799,0.6075
soil hydraulics,soil hydraulic diffusivity,176944,,https://w3id.org/eusoilvoc#SoilHydraulicDiffusivity,0.8991,0.676
soil-water-retention,soil water retention index,176945,,https://w3id.org/eusoilvoc#SoilWaterRetentionIndex,0.907,0.7919
heterogeneous soils,soil pore heterogeneity,176953,,https://w3id.org/eusoilvoc#SoilPoreHeterogeneity,0.8345,0.9773
water holding capacity,soil hydraulic conductivity,177006,,https://w3id.org/eusoilvoc#SoilHydraulicConductivity,0.6898,0.7749
pf-curve,pF curve,177026,,https://w3id.org/eusoilvoc#pFcurve,0.9022,0.9795
maaperäbiologia,soil biological processes,177042,,https://w3id.org/eusoilvoc#SoilBiologicalProcesses,0.8047,0.7086
maaperäeläimistö,soil fauna,177053,,https://w3id.org/eusoilvoc#SoilFauna,0.899,0.6236
mulching film,mulching,177067,,https://w3id.org/eusoilvoc#Mulching,0.8176,0.6124
soil aggregates,soil aggregation,177162,,https://w3id.org/eusoilvoc#SoilAggregation,0.9394,0.9435
ekosystemtjänster,ecosystem services,177259,,https://w3id.org/eusoilvoc#EcosystemServices,0.9827,0.9107
water repellency,soil water retention,177372,,https://w3id.org/eusoilvoc#SoilWaterRetention,0.7536,0.6194
pore network,soil pore connectivity,177409,,https://w3id.org/eusoilvoc#SoilPoreConnectivity,0.6477,0.744
organic pollutants,soil organic carbon,177493,,https://w3id.org/eusoilvoc#SoilOrganicCarbon,0.7382,0.765
organic acids,soil organic carbon,177499,,https://w3id.org/eusoilvoc#SoilOrganicCarbon,0.6042,0.7497
plant exudates,seedling emergence,177577,,https://w3id.org/eusoilvoc#SeedlingEmergence,0.78,0.6113
organic-acids,OrgC_acid-dc-ht,177588,,https://w3id.org/eusoilvoc#carbonOrganicProcedure-OrgC_acid-dc-ht,0.6597,0.7144
soil evaporation,soil water evapouration,177624,,https://w3id.org/eusoilvoc#SoilWaterEvapouration,0.9265,0.8133
soil resistance,soil sensitivity,177686,,https://w3id.org/eusoilvoc#SoilSensitivity,0.8715,0.9212
thermal effects on soil,soil thermal conductivity,177693,,https://w3id.org/eusoilvoc#SoilThermalConductivity,0.8786,0.7127
mesoporous silica,soil mesopore,177905,,https://w3id.org/eusoilvoc#SoilMesopore,0.6083,0.9044
biologia dels sòls,soil biological processes,178148,,https://w3id.org/eusoilvoc#SoilBiologicalProcesses,0.9104,0.7563
clay loam soil,soil clay mineralogy,178170,,https://w3id.org/eusoilvoc#SoilClayMineralogy,0.8687,0.8597
degraded land,soil degradation,178195,,https://w3id.org/eusoilvoc#SoilDegradation,0.8654,0.6797
maaperän organismit,soil organisms,178339,,https://w3id.org/eusoilvoc#SoilOrganisms,0.9681,0.615
nutritional status,soil productivity,178430,,https://w3id.org/eusoilvoc#SoilProductivity,0.8372,0.973
terrestrial nitrogen,soil organic carbon,178433,,https://w3id.org/eusoilvoc#SoilOrganicCarbon,0.7084,0.6322
organische koolstof,soil organic carbon,178573,,https://w3id.org/eusoilvoc#SoilOrganicCarbon,0.9089,0.7911
water stable aggregates index,percent water stable aggregation,178675,,https://w3id.org/eusoilvoc#PercentWaterStableAggregation,0.8281,0.8267
soil organic matter mineralisation,soil mineral matter,178727,,https://w3id.org/eusoilvoc#SoilMineralMatter,0.8883,0.863
ekosistemske storitve,ecosystem services,178753,,https://w3id.org/eusoilvoc#EcosystemServices,0.9791,0.8678
land and water management,soil management,178899,,https://w3id.org/eusoilvoc#SoilManagement,0.8063,0.6134
sensitivity,soil consistence,179016,,https://w3id.org/eusoilvoc#SoilConsistence,0.5629,0.804
"conductivity, electrical",soil electrical conductivity,179076,,https://w3id.org/eusoilvoc#SoilElectricalConductivity,0.6815,0.9483
turf,peat,179260,,https://w3id.org/eusoilvoc#Peat,0.88,0.9965
degraded soil,soil degradation,181500,,https://w3id.org/eusoilvoc#SoilDegradation,0.9645,0.9508
structure-du-sol,soil structure,179321,,https://w3id.org/eusoilvoc#SoilStructure,0.6041,0.8083
organisme-du-sol,soil microfauna,179322,,https://w3id.org/eusoilvoc#SoilMicrofauna,0.7153,0.9305
déterioration-du-sol,soil degradation,179323,,https://w3id.org/eusoilvoc#SoilDegradation,0.8364,0.7632
chimie-des-sols,soil physical properties,179326,,https://w3id.org/eusoilvoc#SoilPhysicalProperties,0.7279,0.7647
soil-regeneration,soil degradation,181535,,https://w3id.org/eusoilvoc#SoilDegradation,0.8022,0.7996
surface complexation,soil compaction,187509,,https://w3id.org/eusoilvoc#SoilCompaction,0.5774,0.6552
soil structure.,soil structure,187517,,https://w3id.org/eusoilvoc#SoilStructure,0.9919,0.9238
land production,land use,181655,,https://w3id.org/eusoilvoc#LandUse,0.8789,0.8572
polluted soil,soil pollution,187535,,https://w3id.org/eusoilvoc#SoilPollution,0.935,0.7475
land reform,land use,179699,,https://w3id.org/eusoilvoc#LandUse,0.8136,0.753
phosphorus distribution,phosphorus retention,179725,,https://w3id.org/eusoilvoc#PhosphorusRetention,0.8772,0.6629
land surface modeling,soil cohesion,179927,,https://w3id.org/eusoilvoc#SoilCohesion,0.7284,0.715
erosión suelo,soil erosion category,179932,,https://w3id.org/eusoilvoc#SoilErosionCategory,0.9116,0.7159
cubiertas vegetales,plant cover,179934,,https://w3id.org/eusoilvoc#PlantCover,0.9317,0.6041
conservación del suelo,conservation tillage,179943,,https://w3id.org/eusoilvoc#ConservationTillage,0.9332,0.7454
土壤保持,soil retention,179952,,https://w3id.org/eusoilvoc#SoilRetention,0.8977,0.8683
dry consistence,consistence dry,179989,,https://w3id.org/eusoilvoc#ConsistenceDry,0.9801,0.8882
reclaimed water,soil water retention,180014,,https://w3id.org/eusoilvoc#SoilWaterRetention,0.7094,0.6114
soil-moisture assimilation,soil moisture redistribution,180031,,https://w3id.org/eusoilvoc#SoilMoistureRedistribution,0.8531,0.7156
surface soil-moisture,soil surface seal,180104,,https://w3id.org/eusoilvoc#SoilSurfaceSeal,0.9004,0.7338
degraded water,water purification,180189,,https://w3id.org/eusoilvoc#WaterPurification,0.8472,0.6183
sustainable agricultural practice,agricultural sustainability,180288,,https://w3id.org/eusoilvoc#AgriculturalSustainability,0.9075,0.9746
soil-water content,soil water contents,180367,,https://w3id.org/eusoilvoc#SoilWaterContents,0.9864,0.9097
alk,aluminium,180470,,https://w3id.org/eusoilvoc#Aluminium,0.7682,0.7888
bodemopbouw,soil cracking,180563,,https://w3id.org/eusoilvoc#SoilCracking,0.888,0.6605
organic soils,soil organic components,182239,,https://w3id.org/eusoilvoc#SoilOrganicComponents,0.9578,0.9853
gebouwen,building,180680,,https://w3id.org/eusoilvoc#Building,0.8866,0.6009
soil physics,soil physical processes,180723,,https://w3id.org/eusoilvoc#SoilPhysicalProcesses,0.929,0.8573
farm inputs,inputs,180751,,https://w3id.org/eusoilvoc#Inputs,0.8604,0.7254
siti-contaminati,soil contaminants,180810,,https://w3id.org/eusoilvoc#SoilContaminants,0.5189,0.8195
soil organic carbon content,soil organic matter contents,185933,,https://w3id.org/eusoilvoc#SoilOrganicMatterContents,0.858,0.656
naturpotenzial,environmental factors,180861,,https://w3id.org/eusoilvoc#EnvironmentalFactors,0.6833,0.8305
cation-exchange-capacity,cation exchange capacity effective,181938,,https://w3id.org/eusoilvoc#CationExchangeCapacityEffective,0.8891,0.9987
compatibilità,soil consistence,181039,,https://w3id.org/eusoilvoc#SoilConsistence,0.6019,0.7916
slope stability,soil slope stability,182064,,https://w3id.org/eusoilvoc#SoilSlopeStability,0.7622,0.6201
soiling transmittance,soil fluid transmission,181106,,https://w3id.org/eusoilvoc#SoilFluidTransmission,0.7438,0.9022
"water-content,-soil",soil moisture,181192,,https://w3id.org/eusoilvoc#SoilMoisture,0.8066,0.6353
zn,zinc,181211,,https://w3id.org/eusoilvoc#Zinc,0.8153,0.9868
jel: q - agricultural and natural resource economics • environmental and ecological economics/q.q5 - environmental economics/q.q5.q57 - ecological economics: ecosystem services • biodiversity conservation • bioeconomics • industrial ecology,soil management,181243,,https://w3id.org/eusoilvoc#SoilManagement,0.4489,0.7151
agricultural waste valorisation,soil management,181244,,https://w3id.org/eusoilvoc#SoilManagement,0.7128,0.6183
land utilization types,land use class,182425,,https://w3id.org/eusoilvoc#LandUseClass,0.9112,0.6878
processi del suolo,soil processes,182599,,https://w3id.org/eusoilvoc#SoilProcesses,0.9386,0.8986
soil reference depth,soil depth,182720,,https://w3id.org/eusoilvoc#SoilDepth,0.9269,0.6743
topsoil reference bulk density,soil density,182740,,https://w3id.org/eusoilvoc#SoilDensity,0.798,0.7542
agenzia regionale per la protezione dell'ambiente del piemonte (arpa) - regional agency for environmental protection of piedmont,habitats,188206,,https://w3id.org/eusoilvoc#Habitats,0.6079,0.9775
surface coating,land cover,182926,,https://w3id.org/eusoilvoc#LandCover,0.5693,0.8065
directive 2006/7/ec of the european parliament and of the council of 15 february 2006 concerning the management of bathing water quality and repealing directive 76/160/eec,water quality,186579,,https://w3id.org/eusoilvoc#WaterQuality,0.5553,0.9663
"directive 2000/60/ec of the european parliament and of the council of 23 october 2000 establishing a framework for community action in the field of water policy as amended by decision 2455/2001/ec and directives 2008/32/ec, 2008/105/ec and 2009/31/ec.",water regulation,186581,,https://w3id.org/eusoilvoc#WaterRegulation,0.5478,0.902
occupation des terres,soil properties,186613,,https://w3id.org/eusoilvoc#SoilProperties,0.8124,0.7345
usage des sols,land use,186615,,https://w3id.org/eusoilvoc#LandUse,0.9479,0.6586
community/rural/urban development,land use,187660,,https://w3id.org/eusoilvoc#LandUse,0.6402,0.6879
soil biological activity,soil biological functions,187729,,https://w3id.org/eusoilvoc#SoilBiologicalFunctions,0.9612,0.9162
"ministrstvo za okelje, podnebje in energijo; agencija republike slovenije za okelje (arso) -ministry of environment, climate and energy; environmental agency of the republic of slovenia",soil management,188212,,https://w3id.org/eusoilvoc#SoilManagement,0.487,0.9982
acid soil,soil acidification,186894,,https://w3id.org/eusoilvoc#SoilAcidification,0.9185,0.6141
air pollution; climate change; coordinated research networks; environmental monitoring; functional diversity; mediterranean ecosystems; air pollutants; air pollution; atmosphere; biodiversity; climate; humans; nitrogen; research; climate change; ecosystem; environmental monitoring,air quality,187744,,https://w3id.org/eusoilvoc#AirQuality,0.4185,0.7016
"air pollution; climate change; coordinated research networks; environmental monitoring; functional diversity; mediterranean ecosystems; air pollutants; air pollution; atmosphere; biodiversity; climate; humans; nitrogen; research; climate change; ecosystem; environmental monitoring; toxicology; pollution; health, toxicology and mutagenesis",air quality,187746,,https://w3id.org/eusoilvoc#AirQuality,0.4232,0.6136
atmospheric precipitation,precipitation,186933,,https://w3id.org/eusoilvoc#Precipitation,0.9858,0.9621
acidifikácia pôd,soil acidification,186938,,https://w3id.org/eusoilvoc#SoilAcidification,0.9317,0.7762
soil organic carbon transformation,soil organic carbon loss,186940,,https://w3id.org/eusoilvoc#SOCLoss,0.9002,0.8741
geophysics,physiography,184149,,https://w3id.org/eusoilvoc#Physiography,0.8162,0.7469
ecosystem degradation,soil ecological degradation,187864,,https://w3id.org/eusoilvoc#SoilEcologicalDegradation,0.8092,0.8063
total phosphorus,phosphorus total elements,187009,,https://w3id.org/eusoilvoc#PhosphorusTotalElements,0.9541,0.9384
"sòl, ús del",land use,187058,,https://w3id.org/eusoilvoc#LandUse,0.9417,0.716
soil organic layer,soil organic components,187111,,https://w3id.org/eusoilvoc#SoilOrganicComponents,0.9465,0.8952
changement climatique carbone solutions fondées sur la nature écosystème terrestre atténuation climate change carbon nature-based solution terrestrial ecosystem attenuation cambio climático carbono solución basada en la naturaleza ecosistema terrestre mitigación,climate,187151,,https://w3id.org/eusoilvoc#Climate,0.6056,1.0
soil physicochemical,soil physical properties,187221,,https://w3id.org/eusoilvoc#SoilPhysicalProperties,0.9707,0.8735
soil hydraulic,soil hydraulic diffusivity,187222,,https://w3id.org/eusoilvoc#SoilHydraulicDiffusivity,0.8973,0.701
water infiltration into the ground,soil water movement,187235,,https://w3id.org/eusoilvoc#SoilWaterMovement,0.9728,0.9725
plant breeding.,vegetation,187254,,https://w3id.org/eusoilvoc#Vegetation,0.8233,0.711
sandy soil,soil sand contents,188095,,https://w3id.org/eusoilvoc#SoilSandContents,0.9493,0.8083
water-stable aggregates (wsa),percent water stable aggregation,188139,,https://w3id.org/eusoilvoc#PercentWaterStableAggregation,0.785,0.746
land utilization,land use class,187428,,https://w3id.org/eusoilvoc#LandUseClass,0.8977,0.9077
"soil matric potential, soil water availability, drought, minimum agriculture, minimum tillage, conventional tillage, soil penetration resistance",soil matric potential,187449,,https://w3id.org/eusoilvoc#SoilMatricPotential,0.7494,0.706
