subject_label,vocab_label,subject_id,subject_uri,vocab_identifier,cosine_score,ce_score
човеков утицај,human influence class,162928,,https://w3id.org/eusoilvoc#HumanInfluenceClass,0.7441,0.9753
subsoil,soil subsidence,161352,,https://w3id.org/eusoilvoc#SoilSubsidence,0.5256,0.6998
terenska detekcija,soil texture,162937,,https://w3id.org/eusoilvoc#SoilTexture,0.6281,0.698
soil-texture,soil cohesion,161423,,https://w3id.org/eusoilvoc#SoilCohesion,0.9027,0.8036
"water content, soil",soil moisture,161439,,https://w3id.org/eusoilvoc#SoilMoisture,0.9819,0.9866
tree roots,plant cover,161586,,https://w3id.org/eusoilvoc#PlantCover,0.7223,0.7517
heavy metals,cadmium,160664,,https://w3id.org/eusoilvoc#Cadmium,0.6488,0.623
other chemical sciences,micronutrients,161600,,https://w3id.org/eusoilvoc#Micronutrients,0.5377,0.6477
biodegradation,soil biological degradation,160782,,https://w3id.org/eusoilvoc#SoilBiologicalDegradation,0.6569,0.798
surface water,soil water,160790,,https://w3id.org/eusoilvoc#SoilWater,0.8367,0.7115
groundwater endangering,soil water movement,160792,,https://w3id.org/eusoilvoc#SoilWaterMovement,0.6922,0.7321
soil-erosion,soil erosion,161499,,https://w3id.org/eusoilvoc#SoilErosion,0.8849,0.7612
geophysics,physiography,161520,,https://w3id.org/eusoilvoc#Physiography,0.8162,0.7469
soil minerals,soil mineral matter,161571,,https://w3id.org/eusoilvoc#SoilMineralMatter,0.9759,0.9347
environmental degradation,soil ecological degradation,161624,,https://w3id.org/eusoilvoc#SoilEcologicalDegradation,0.7676,0.6761
land-use,land use class,161627,,https://w3id.org/eusoilvoc#LandUseClass,0.878,0.7293
biota,soil biota,161073,,https://w3id.org/eusoilvoc#SoilBiota,0.671,0.6616
mineral soil,soil mineral matter,161683,,https://w3id.org/eusoilvoc#SoilMineralMatter,0.9686,0.9687
soil biology,soil biological functions,161699,,https://w3id.org/eusoilvoc#SoilBiologicalFunctions,0.93,0.8921
local adaptation,land use,161744,,https://w3id.org/eusoilvoc#LandUse,0.4642,0.8362
soil microhabitat,soil microbial activity,161748,,https://w3id.org/eusoilvoc#SoilMicrobialActivity,0.8312,0.6119
produits antiparasitaires,phosphorus,162992,,https://w3id.org/eusoilvoc#Phosphorus,0.5249,0.6286
land use/land cover,land use bare cover,163064,,https://w3id.org/eusoilvoc#LandUseBareCover,0.8219,0.9316
sand content,soil sand contents,163079,,https://w3id.org/eusoilvoc#SoilSandContents,0.8258,0.6023
productividad de la tierra,soil productivity,161823,,https://w3id.org/eusoilvoc#SoilProductivity,0.9573,0.6875
soil microbes,soil microbial biomass,161845,,https://w3id.org/eusoilvoc#SoilMicrobialBiomass,0.8572,0.8346
arable land,land use,161854,,https://w3id.org/eusoilvoc#LandUse,0.8859,0.8423
land fragmentation,land use,161864,,https://w3id.org/eusoilvoc#LandUse,0.7208,0.6674
soil health indicators,soil strength index,161905,,https://w3id.org/eusoilvoc#SoilStrengthIndex,0.7979,0.6156
soil samples,soil depth sampled,161927,,https://w3id.org/eusoilvoc#SoilDepthSampled,0.9201,0.815
earth obeservation,soil cracking,161940,,https://w3id.org/eusoilvoc#SoilCracking,0.7091,0.8634
long‐distance dispersal (ldd),longitudinal dispersion,162032,,https://w3id.org/eusoilvoc#LongitudinalDispersion,0.5523,0.6227
humidity resistance,soil moisture deficit,162625,,https://w3id.org/eusoilvoc#SoilMoistureDeficit,0.7515,0.6162
humidity passivation,soil moisture deficit,162869,,https://w3id.org/eusoilvoc#SoilMoistureDeficit,0.742,0.7068
soil ecosystems,soil environmental functions,163174,,https://w3id.org/eusoilvoc#SoilEnvironmentalFunctions,0.9092,0.7748
soil compounds,soil particles,163195,,https://w3id.org/eusoilvoc#SoilParticles,0.8902,0.7951
cultural ecosystem services,cultural services,163326,,https://w3id.org/eusoilvoc#CulturalServices,0.8352,0.7345
/dk/atira/pure/sustainabledevelopmentgoals/affordable_and_clean_energy; name=sdg 7 - affordable and clean energy,agricultural sustainability,163357,,https://w3id.org/eusoilvoc#AgriculturalSustainability,0.4358,0.7184
mineral soils,soil mineral matter,163365,,https://w3id.org/eusoilvoc#SoilMineralMatter,0.9577,0.9762
подводная мерзлота,groundwater depth,163459,,https://w3id.org/eusoilvoc#GroundwaterDepth,0.5919,0.6267
sustainable agriculture intensification,agricultural sustainability,163692,,https://w3id.org/eusoilvoc#AgriculturalSustainability,0.8168,0.611
"nitrogen, total dissolved",nitrogen total,163745,,https://w3id.org/eusoilvoc#NitrogenTotal,0.8404,0.7509
sum cations,cation sum,163752,,https://w3id.org/eusoilvoc#CationSum,0.9601,0.6481
compostos orgànics,soil organic components,163815,,https://w3id.org/eusoilvoc#SoilOrganicComponents,0.6171,0.7461
flow intermittence,interflow,163848,,https://w3id.org/eusoilvoc#Interflow,0.5578,0.6959
gas-exchange,soil gaseous exchange,163884,,https://w3id.org/eusoilvoc#SoilGaseousExchange,0.5943,0.7558
fulvic acids,FulAcidC_unk,163903,,https://w3id.org/eusoilvoc#organicMatterProcedure-FulAcidC_unkn,0.6634,0.8423
fulvic-acids,FulAcidC_unk,163908,,https://w3id.org/eusoilvoc#organicMatterProcedure-FulAcidC_unkn,0.7251,0.6979
nitrogen fixation,biological nitrogen fixation,163913,,https://w3id.org/eusoilvoc#BiologicalNitrogenFixation,0.9192,0.8686
bulk-density,soil density,163938,,https://w3id.org/eusoilvoc#SoilDensity,0.8061,0.8847
urban development,land use,163985,,https://w3id.org/eusoilvoc#LandUse,0.6171,0.6402
soil physical-properties,soil aggregate physical properties,164074,,https://w3id.org/eusoilvoc#SoilAggregatePhysicalProperties,0.9025,0.9711
cec (cation exchange capacity),cation exchange capacity effective,164279,,https://w3id.org/eusoilvoc#CationExchangeCapacityEffective,0.7814,0.8153
soil degradation processes,soil chemical degradative processes,164291,,https://w3id.org/eusoilvoc#SoilChemicalDegradativeProcesses,0.9227,0.982
soil functions data,soil function indicators,164292,,https://w3id.org/eusoilvoc#SoilFunctionIndicators,0.919,0.6062
a. b,boron,164363,,https://w3id.org/eusoilvoc#Boron,0.6845,0.8624
cd,cadmium,164387,,https://w3id.org/eusoilvoc#Cadmium,0.7727,0.8884
zn,zinc,164391,,https://w3id.org/eusoilvoc#Zinc,0.8153,0.9868
organischer kohlenstoffvorrat,soil organic carbon loss,164440,,https://w3id.org/eusoilvoc#SOCLoss,0.7153,0.657
effektive kationenaustauschkapazitäten,cation exchange capacity effective,164444,,https://w3id.org/eusoilvoc#CationExchangeCapacityEffective,0.7839,0.9994
wdm,VMC_d-ww,164498,,https://w3id.org/eusoilvoc#moistureContentProcedure-VMC_d-ww,0.6286,0.6429
basensättigung,base saturation,166675,,https://w3id.org/eusoilvoc#BaseSaturation,0.8836,0.8184
wasserspeicherfähigkeit,water storage capacity,164604,,https://w3id.org/eusoilvoc#WaterStorageCapacity,0.8945,0.9786
landwirtschaft,land use,164611,,https://w3id.org/eusoilvoc#LandUse,0.8573,0.7693
landwirtschaft,land use,164615,,https://w3id.org/eusoilvoc#LandUse,0.8573,0.7693
usage des sols,land use,164618,,https://w3id.org/eusoilvoc#LandUse,0.9479,0.6586
înveliş de sol,soil movement,164636,,https://w3id.org/eusoilvoc#SoilMovement,0.8627,0.8227
organische substanz,soil organic matter,164685,,https://w3id.org/eusoilvoc#SoilOrganicMatter,0.8324,0.7624
landwirtschaft,land use,164701,,https://w3id.org/eusoilvoc#LandUse,0.8573,0.7693
wasserspeicherfähigkeit,water storage capacity,164707,,https://w3id.org/eusoilvoc#WaterStorageCapacity,0.8945,0.9786
wasserkapazität,water storage capacity,164708,,https://w3id.org/eusoilvoc#WaterStorageCapacity,0.8168,0.7015
bodenbearbeitung,conservation tillage,164905,,https://w3id.org/eusoilvoc#ConservationTillage,0.8904,0.8305
bodeneigenschaften,soil physical properties,164922,,https://w3id.org/eusoilvoc#SoilPhysicalProperties,0.7601,0.796
atmospheric pressure,precipitation,164994,,https://w3id.org/eusoilvoc#Precipitation,0.7444,0.8357
bodemtextuur,soil cohesion,165005,,https://w3id.org/eusoilvoc#SoilCohesion,0.9303,0.7473
bodemverzuring,soil salinization,165066,,https://w3id.org/eusoilvoc#SoilSalinization,0.7692,0.6263
bodemdegradatie,soil degradation,165068,,https://w3id.org/eusoilvoc#SoilDegradation,0.9483,0.7786
bodemorganisme,soil microfauna,165070,,https://w3id.org/eusoilvoc#SoilMicrofauna,0.8029,0.8324
geowissenschaften,geology,165090,,https://w3id.org/eusoilvoc#Geology,0.926,0.6157
datenaustausch,cation exchange,165122,,https://w3id.org/eusoilvoc#CationExchange,0.5674,0.9184
wasserspeicherung,water storage capacity,165134,,https://w3id.org/eusoilvoc#WaterStorageCapacity,0.8409,0.918
speicherfähigkeit,water storage capacity,165135,,https://w3id.org/eusoilvoc#WaterStorageCapacity,0.6547,0.6748
occupation des terres,soil properties,165167,,https://w3id.org/eusoilvoc#SoilProperties,0.8124,0.7345
využitie územia,land use class,165174,,https://w3id.org/eusoilvoc#LandUseClass,0.7276,0.6305
carbone organique,soil organic carbon,165283,,https://w3id.org/eusoilvoc#SoilOrganicCarbon,0.9134,0.8872
doorsijpeling van water in de bodem,soil water retention,165406,,https://w3id.org/eusoilvoc#SoilWaterRetention,0.9264,0.7727
soil contamination,soil contaminants,165512,,https://w3id.org/eusoilvoc#SoilContaminants,0.9424,0.7384
landform,landform complex,166815,,https://w3id.org/eusoilvoc#LandformComplex,0.8702,0.7576
subsoil reference bulk density,soil density,165608,,https://w3id.org/eusoilvoc#SoilDensity,0.728,0.8158
organische substanz,soil organic matter,165635,,https://w3id.org/eusoilvoc#SoilOrganicMatter,0.8324,0.7624
cd(ii),cadmium,166842,,https://w3id.org/eusoilvoc#Cadmium,0.7398,0.8621
macrouridae,macronutrients,165756,,https://w3id.org/eusoilvoc#Macronutrients,0.6391,0.6874
