"id","record_id","name","format","url","description"
49000,"https://data.inspire.gv.at/08a352d6-d1cf-443a-9a6b-2f72cd7bc848","inspire_hofstellen_2024-1","OGC:WMS","https%3A%2F%2Finspire.lfrz.gv.at%2F009501%2Fwms%3Frequest%3DGetCapabilities%26version%3D1.3.0","inspire_hofstellen_2024-1"
49005,"https://data.inspire.gv.at/c27097c7-41fc-43ea-8536-534141c9d505","inspire_feldstuecke_2021","OGC:WMS","https%3A%2F%2Finspire.lfrz.gv.at%2F009501%2Fwms%3Fversion%3D1.3.0%26request%3DGetCapabilities","INVEKOS Feldstücke 2021"
49010,"https://data.inspire.gv.at/4f35a25a-9295-43c6-aa30-696d03e2ebed","inspire_hofstellen_2022_2","OGC:WMS","https%3A%2F%2Finspire.lfrz.gv.at%2F009501%2Fwms%3Frequest%3DGetCapabilities%26version%3D1.3.0","inspire_hofstellen_2022_2"
49028,"r_friuve:m3955-cc-i1450",NULL,"Web Feature Service (WFS)","https%3A%2F%2Fserviziogc.regione.fvg.it%2Fgeoserver%2FCAR_GEO%2Fwfs%3Frequest%3DGetCapabilities%26service%3Dwfs%26version%3D2.0.0",NULL
49029,"r_friuve:m3955-cc-i1450",NULL,"Web Map Service (WMS)","https%3A%2F%2Fserviziogc.regione.fvg.it%2Fgeoserver%2FCAR_GEO%2Fwms%3Frequest%3DGetCapabilities%26service%3Dwms%26version%3D1.3.0",NULL
49030,"6c7ae489-8a11-45af-9352-f6b9ad05414b","INSPIRE Downloaddienst Databank Ondergrond Vlaanderen","OGC:WFS","https%3A%2F%2Fwww.dov.vlaanderen.be%2Fgeoserver%2Fwfs%3F","INSPIRE Downloaddienst Databank Ondergrond Vlaanderen"
49031,"6c7ae489-8a11-45af-9352-f6b9ad05414b","INSPIRE Downloaddienst Databank Ondergrond Vlaanderen","OGC:WFS-1.1.0-http-get-capabilities","https%3A%2F%2Fwww.dov.vlaanderen.be%2Fgeoserver%2Fwfs%3Fservice%3DWFS%26version%3D1.1.0%26request%3DGetCapabilities","INSPIRE Downloaddienst Databank Ondergrond Vlaanderen"
49032,"6c7ae489-8a11-45af-9352-f6b9ad05414b","INSPIRE Downloaddienst Databank Ondergrond Vlaanderen","OGC:WFS-1.1.0-http-describefeaturetype","https%3A%2F%2Fwww.dov.vlaanderen.be%2Fgeoserver%2Fwfs%3Fservice%3DWFS%26version%3D1.1.0%26request%3DDescribeFeatureType","INSPIRE Downloaddienst Databank Ondergrond Vlaanderen"
49033,"6c7ae489-8a11-45af-9352-f6b9ad05414b","INSPIRE Downloaddienst Databank Ondergrond Vlaanderen","OGC:WFS-1.1.0-http-get-feature","https%3A%2F%2Fwww.dov.vlaanderen.be%2Fgeoserver%2Fwfs%3Fservice%3DWFS%26version%3D1.1.0%26request%3DGetFeature","INSPIRE Downloaddienst Databank Ondergrond Vlaanderen"
49034,"6c7ae489-8a11-45af-9352-f6b9ad05414b","INSPIRE Downloaddienst Databank Ondergrond Vlaanderen","OGC:WFS-1.1.0-http-getgmlobject","https%3A%2F%2Fwww.dov.vlaanderen.be%2Fgeoserver%2Fwfs%3Fservice%3DWFS%26version%3D1.1.0%26request%3DGetGmlObject","INSPIRE Downloaddienst Databank Ondergrond Vlaanderen"
49036,"https://data.inspire.gv.at/ee6181dd-ffa0-4658-b5dd-025958cf6d05","inspire_hofstellen_2022","OGC:WMS","https%3A%2F%2Finspire.lfrz.gv.at%2F009501%2Fwms%3Frequest%3DGetCapabilities%26version%3D1.3.0","inspire_hofstellen_2022"
49041,"4d283c4d-ddfc-4d27-b679-7d5881e66f85","Agricultural Soil Map of Austria - Soil characteristic Water Permeability","OGC:WMS","https%3A%2F%2Finspire.lfrz.gv.at%2F000604%2Fwms%3Fversion%3D1.3.0%26request%3DGetCapabilities","Agricultural Soil Map of Austria - Soil characteristic Water Permeability"
